조직명,주소,E-MAIL,전화번호,FAX번호,우편번호,주소(영문),조직명(영문)
장흥출장소,전남 장흥군 장흥읍 동교3길5 정하리버하임상가동 402호,klac3035@klac.or.kr,061-863-8856,0505-057-6810,59327,"Donggyo 3-gil 5, 4F, JunJangheung-eup, Jangheung-gun, Jellanam-do",Jangheung Branch
강진지소,전남 강진군 강진읍 탐진로 111 강진군청 민원실 내 2층 ,klac3058@klac.or.kr,061-813-0030,061-432-5003,59228,"Tamjin-ro 111, Gangjin-eup, -gun, Jeollanam-do, in the Civil Service Center of Gangjin County Hall",Gangjin Sub Branch
순천출장소,전남 순천시 왕지1길 15 순왕빌딩 401호,klac3036@klac.or.kr,061-725-8121,061-723-6539,57932,"Wangji-ro 21, Suncheon city, Jeollanam-do, in Suncheon Branch Prosecutor Office",Suncheon Branch
보성지소,전남 보성군 보성읍 송재로 165 보성군청 민원실 내 ,klac3086@klac.or.kr,061-852-7804,061-852-7803,59455,"165, Songjae-ro, Boseong-eup, Boseong-gun, Jeollanam-do ",Boseong Sub Branch
고흥지소,전남 고흥군 고흥읍 터미널길 11 고흥읍사무소 별관,klac3087@klac.or.kr,061-835-7806,061-835-7807,59543,"Terminalgil 11, Goheung-eup, Goheung-gun, Jeollanam-do",Goheung Sub Branch
해남출장소,"전남 해남군 해남읍 중앙2로 22, 2층",klac3037@klac.or.kr,061-536-9945,061-535-1320,59035,"Jungang 2ro 22, ASICS 2nd Fl., Haenam-eup, -gun, Jeollanam-do",Haenam Branch
완도지소,전라남도 완도군 완도읍 장보고대로 284-1 (군내리) 2층,klac3059@klac.or.kr,061-555-1164,061-555-1162,59122,"284-1, Jangbogo-daero 284-1 2F, Wando-eup, Wando-gun, Jeollanam-do, Republic of Korea",Wando Sub Branch
진도지소,전남 진도군 진도읍 쌍정2길 34 해남축협 2층,klac3060@klac.or.kr,061-542-7132,061-542-8132,58923,"Ssangjeong 2gil 34, Haenam-chukhyeop 2nd Fl., Jindo-eup, -gun, Jeollanam-do",Jindo Sub Branch
전주지부,전라북도 전주시 덕진구 만성중앙로 54-30 (만성동) 만성법조타워Ⅱ 4층 ,klac2010@klac.or.kr,063-251-4034,063-271-5050,54868,"54-30, Manseongjungang-ro, Deokjin-gu, Jeonju-si, Jeollabuk-do",Jeonju Chapter
진안지소,전북 진안군 진안읍 중앙로 66 군민자치센터 2층,klac3073@klac.or.kr,063-432-1345,063-432-1344,55433,"Jungang-ro 66, Gunmin Jachi Center 2nd Fl., Jinan-eup, -gun, Jeollabuk-do",Jinan Sub Branch
김제지소,전북 김제시 중앙로 40 김제시의회 1층,klac3088@klac.or.kr,063-542-5028,063-542-5038,54386,"Jungro 40, Kimje-si, Jeollabuk-do",Kimje Sub Branch
무주지소,전북 무주군 무주읍 주계로 97,klac3074@klac.or.kr,063-323-3254,063-323-3255,55517,"Jugye-ro 97, Muju-eup, Muju-gun, Jeollabuk-do",Muju Sub Branch
군산출장소,전북 군산시 검다메1길 64 영창빌딩 303호,klac3038@klac.or.kr,063-452-6696,063-452-6676,54079,"Geomdame 1gil 64, Yeongchang Bldg. 303, Gunsan city, Jeollabuk-do",Gunsan Branch
익산지소,"전라북도 익산시 고봉로18길 34, 영등1동 주민자치센터 2층",klac3113@klac.or.kr,063-722-5100,063-837-1575,54644,"34, Gobong-ro 18-gil, Iksan-si, Jeollabuk-do",Iksan Sub Branch
정읍출장소,전북 정읍시 수성5로 31-9 2층 204호,klac3039@klac.or.kr,063-533-9644,063-533-9643,56172,"31-9, Suseong 5-ro, Jeongeup-si, Jeollabuk-do",Jeongeup Branch
부안지소,"전라북도 부안군 부안읍 석정로 179 (선은리, KT부안지사) 3층",klac3089@klac.or.kr,063-584-5080,063-584-5081,56307,"3F, 179, Seokjeong-ro, Buan-eup, Buan-gun, Jeollabuk-do, Republic of Korea",Buan Sub Branch
고창지소,"전북 고창군 고창읍 중앙로 239, 3층",klac3090@klac.or.kr,063-564-5280,063-564-5281,56433,"Jungangro 239, Gochang-eup, Gochang-gun, Jeollabuk-do",Gochang Sub Branch
남원출장소,"전북 남원시 동헌길 110, 2층",klac3040@klac.or.kr,063-626-5789,063-625-4788,55770,"Dongheon-gil 110, 2nd Fl., Namwon city, Jeollabuk-do",Gochang Sub Branch
장수지소,전라북도 장수군 장수읍 발방골길 21-56 (두산리) ,klac3075@klac.or.kr,063-353-1345,063-353-1346,55638,"21-56, Balbanggol-gil, Jangsu-eup, Jangsu-gun, Jeollabuk-do",Jangsu Sub Branch
제주지부,제주시 중앙로 359  신해빌딩 2층,klac2011@klac.or.kr,064-753-9955,064-753-9953,63231,"359, Jungang-ro, Jeju-si, Jeju-do",Jeju Chapter
서귀포지소,제주특별자치도 서귀포시 중앙로 105 서귀포시청 제1청사 별관 3층 ,klac3109@klac.or.kr,064-803-0681,064-762-5932,63584,"105, Jungang-ro, 3st Fl., Seogwipo-si, Jeju-do",Seogwipo Sub Branch
법문화교육센터,경북 김천시 문당길 142,zpilqa19@klac.or.kr,054-432-6812,054-432-6814,39518,"Mundang-gil 142, Gimcheon-si, Gyeongsangbuk-do",KLAC Law-related Education Center
